=========================================================
REPRESENTATIVE SPECTRUM DATA: BLUE CURVE DATA (Sample B)
Derived from Size-Dependent Excitonic Shift in Fig 2(a,b)
=========================================================

 Wavelength_nm  n_Blue  k_Blue
           100   1.300   0.100
           150   0.900   0.850
           200   0.500   1.600
           250   1.325   2.150
           300   2.150   2.700
           350   2.975   3.250
           400   3.800   3.800
           450   4.000   3.250
           500   4.200   2.700
           550   4.400   2.150
           600   4.600   1.600
           650   4.535   1.450
           700   4.520   1.300
           750   4.505   1.150
           800   4.490   1.000
           850   4.475   0.850
           900   4.460   0.700
           950   4.445   0.550
          1000   4.417   0.052
          1050   4.387   0.062
          1100   4.328   0.104
          1150   4.239   0.219
          1200   4.193   0.405
          1250   4.277   0.554
          1300   4.428   0.535
          1350   4.485   0.365
          1400   4.422   0.189
          1450   4.335   0.091
          1500   4.283   0.058
          1550   4.257   0.051
          1600   4.240   0.050
          1700   4.220   0.010
          1800   4.190   0.010
          1900   4.160   0.010
          2000   4.130   0.010
