=========================================================
REPRESENTATIVE SPECTRUM DATA: RED CURVE DATA (Sample D)
Derived from Size-Dependent Excitonic Shift in Fig 2(a,b)
=========================================================

Wavelength_nm   n_Red   k_Red
100             1.300   0.100
150             0.900   0.850
200             0.500   1.600
250             1.325   2.150
300             2.150   2.700
350             2.975   3.250
400             3.800   3.800
450             4.000   3.250
500             4.200   2.700
550             4.400   2.150
600             4.600   1.600
650             4.835   1.450
700             4.820   1.300
750             4.805   1.150
800             4.790   1.000
850             4.775   0.850
900             4.760   0.700
950             4.745   0.550
1000            4.490   0.050
1050            4.475   0.050
1100            4.459   0.050
1150            4.440   0.052
1200            4.404   0.064
1250            4.322   0.115
1300            4.195   0.251
1350            4.134   0.473
1400            4.268   0.651
1450            4.502   0.628
1500            4.595   0.426
1550            4.507   0.216
1600            4.385   0.099
1700            4.520   0.010
1800            4.490   0.010
1900            4.460   0.010
2000            4.430   0.010
