=========================================================
REPRESENTATIVE SPECTRUM DATA: GREEN CURVE DATA (Sample C)
Derived from Size-Dependent Excitonic Shift in Fig 2(a,b)
=========================================================

 Wavelength_nm  n_Green  k_Green
           100    1.300    0.100
           150    0.900    0.850
           200    0.500    1.600
           250    1.325    2.150
           300    2.150    2.700
           350    2.975    3.250
           400    3.800    3.800
           450    4.000    3.250
           500    4.200    2.700
           550    4.400    2.150
           600    4.600    1.600
           650    4.685    1.450
           700    4.670    1.300
           750    4.655    1.150
           800    4.640    1.000
           850    4.625    0.850
           900    4.610    0.700
           950    4.595    0.550
          1000    4.455    0.050
          1050    4.438    0.051
          1100    4.413    0.056
          1150    4.360    0.085
          1200    4.263    0.175
          1250    4.171    0.358
          1300    4.211    0.562
          1350    4.393    0.625
          1400    4.533    0.488
          1450    4.507    0.275
          1500    4.400    0.128
          1550    4.319    0.068
          1600    4.281    0.053
          1700    4.370    0.010
          1800    4.340    0.010
          1900    4.310    0.010
          2000    4.280    0.010
