=========================================================
REPRESENTATIVE SPECTRUM DATA: PbS QDOTS (n, k vs Wavelength)
Derived from Fig 2(a) and 2(b) spectral curves
=========================================================

 Wavelength_nm  Refractive_Index_n  Extinction_Coefficient_k
           100               1.300                     0.100
           150               0.900                     0.850
           200               0.500                     1.600
           250               1.325                     2.150
           300               2.150                     2.700
           350               2.975                     3.250
           400               3.800                     3.800
           450               4.000                     3.250
           500               4.200                     2.700
           550               4.400                     2.150
           600               4.600                     1.600
           650               4.560                     1.450
           700               4.520                     1.300
           750               4.480                     1.150
           800               4.440                     1.000
           850               4.400                     0.850
           900               4.360                     0.700
           950               4.320                     0.550
          1000               4.280                     0.400
          1050               4.406                     0.475
          1100               4.450                     0.650
          1150               4.406                     0.475
          1200               4.300                     0.300
          1250               4.194                     0.475
          1300               4.150                     0.650
          1350               4.194                     0.475
          1400               4.300                     0.300
          1450               4.185                     0.100
          1500               4.170                     0.050
          1550               4.155                     0.010
          1600               4.140                     0.010
          1700               4.110                     0.010
          1800               4.080                     0.010
          1900               4.050                     0.010
          2000               4.020                     0.010
