interface,S_cm_s,mode,Jsc,Voc,FF,PCE
baseline,0e+00,e+h,39.07,0.7356,0.716,20.59
qedt,1e+02,e+h,38.87,0.7042,0.732,20.04
qedt,1e+02,e_only,38.87,0.7042,0.732,20.04
qedt,1e+04,e+h,38.73,0.6855,0.742,19.69
qedt,1e+04,e_only,38.73,0.6859,0.741,19.70
qedt,1e+06,e+h,38.73,0.6855,0.742,19.69
qedt,1e+06,e_only,38.73,0.6855,0.742,19.69
pvqd,1e+02,e+h,39.05,0.6418,0.685,17.18
pvqd,1e+02,e_only,39.05,0.6418,0.685,17.18
pvqd,1e+04,e+h,37.30,0.5163,0.576,11.10
pvqd,1e+04,e_only,37.36,0.5606,0.540,11.31
pvqd,1e+06,e+h,27.18,0.4963,0.612,8.26
pvqd,1e+06,e_only,27.75,0.5501,0.543,8.29
snpv,1e+02,e+h,39.07,0.7353,0.716,20.56
snpv,1e+02,e_only,39.07,0.7353,0.716,20.56
snpv,1e+04,e+h,38.87,0.7235,0.673,18.92
snpv,1e+04,e_only,39.07,0.7353,0.716,20.56
snpv,1e+06,e+h,36.48,0.7036,0.582,14.93
snpv,1e+06,e_only,39.07,0.7353,0.716,20.56
