V (V),J (mA/cm2)
0.0,33.645980410226784
0.02,33.6358189064142
0.04,33.625191995426434
0.06,33.61406928269763
0.08,33.60241595006534
0.1,33.590191492044504
0.12,33.57734800091961
0.14,33.56382782129
0.16,33.54956027327046
0.18,33.53445697799251
0.2,33.5184050287605
0.22,33.50125670598328
0.24,33.482813489178525
0.26,33.46280029102408
0.28,33.440821001173624
0.3,33.416313879844466
0.32,33.38835805498257
0.34,33.35550515145649
0.36,33.315341579919696
0.38,33.263705726840314
0.4,33.19322175153465
0.42,33.09054885727631
0.44,32.93130250055012
0.46,32.671062639203704
0.48,32.230801479361645
0.5,31.47712330571327
0.52,30.20434677154728
0.54,28.133739554480073
0.56,24.937051932299717
0.58,20.25779884069367
0.6,13.68759802706179
0.62,4.656039324873349
0.64,-7.790104401539934
0.66,-25.18272230853393
0.68,-49.684188344117835
0.7000000000000001,-84.02478838104128
0.72,-131.33599138473355
0.74,-194.87442312452833
0.76,-277.84759168462523
0.78,-383.55200314938537
0.8,-515.6619532062343
0.8200000000000001,-678.5740527387671
0.84,-877.5511748699819
0.86,-1118.508446386617
0.88,-1407.3562082890958
0.9,-1748.828590373138
0.92,-2144.7978888751727
0.9400000000000001,-2592.291785032131
0.96,-3081.8974247679366
0.98,-3597.9075225399956
1.0,-4121.7409717347
