V (V),J (mA/cm2)
0.0,33.85523061607676
0.02,33.85090387810458
0.04,33.84639640517276
0.06,33.84169920538349
0.08,33.83680231006312
0.1,33.83169448039279
0.12,33.82636280633202
0.14,33.82079215382404
0.16,33.81496438487614
0.18,33.80885726495488
0.2,33.802442898715725
0.22,33.79568547593495
0.24,33.788537982864376
0.26,33.78093737480359
0.28,33.772797389797965
0.3,33.7639986832902
0.32,33.75437127140144
0.34,33.74367229877784
0.36,33.731549597360285
0.38,33.717485477522054
0.4,33.70070405655516
0.42,33.68000473581949
0.44,33.65343761809189
0.46,33.61764952670958
0.48,33.566597929915204
0.5,33.48918094050161
0.52,33.365266320709374
0.54,33.15985961520852
0.56,32.81597189848566
0.58,32.24806250483703
0.6,31.33919600536918
0.62,29.942440211727572
0.64,27.87604371802363
0.66,24.897657216915697
0.68,20.645687302601516
0.7000000000000001,14.538562533754414
0.72,5.705936358249736
0.74,-7.001498285801631
0.76,-25.14826468951516
0.78,-50.829574052873106
0.8,-86.96188508379417
0.8200000000000001,-137.58149012446393
0.84,-208.3655621269487
0.86,-307.4024048646609
0.88,-445.92049660723956
0.9,-638.4376315931864
0.92,-902.2666802293681
0.9400000000000001,-1257.1727464366918
0.96,-1725.5137818325813
0.98,-2331.8877642503317
1.0,-3101.064367972556
