V (V),J (mA/cm2)
0.0,42.32113305156101
0.02,42.308013844058124
0.04,42.294300437778546
0.06,42.27995362556615
0.08,42.264928387837195
0.1,42.24917224633107
0.12,42.232623051487394
0.14,42.21520597118681
0.16,42.19682931795548
0.18,42.1773786724196
0.2,42.15670838651164
0.22,42.13462896843387
0.24,42.110887775990186
0.26,42.08513834028863
0.28,42.05688669132778
0.3,42.02545535229643
0.32,41.98972542713844
0.34,41.94799086882875
0.36,41.89745322845363
0.38,41.833369042049895
0.4,41.747463120554954
0.42,41.62498488758661
0.44,41.43934006888002
0.46,41.14272344070792
0.48,40.651232079093596
0.5,39.825333619334465
0.52,38.45357207940713
0.54,36.25505143726371
0.56,32.90557542472701
0.58,28.05695583442093
0.6,21.304965391927244
0.62,12.068525804521476
0.64,-0.6262568971806051
0.66,-18.332114386897285
0.68,-43.24118889442221
0.7000000000000001,-78.13849038602325
0.72,-126.25380559472485
0.74,-191.00001090747355
0.76,-275.81852044412466
0.78,-384.32013625954653
0.8,-520.5717502694475
0.8200000000000001,-689.4429839214733
0.84,-896.7594150934525
0.86,-1149.11675152375
0.88,-1453.2725886374992
0.9,-1815.0337193627774
0.92,-2237.5980817450013
0.9400000000000001,-2719.461664607615
0.96,-3252.3711886357073
0.98,-3820.4779319645213
1.0,-4402.499887517869
