V (V),J (mA/cm2)
0.0,21.808277768618154
0.02,21.766191512550137
0.04,21.72359830985711
0.06,21.680469892412717
0.08,21.636777051884167
0.1,21.59248949162441
0.12,21.547575670523745
0.14,21.502002646646588
0.16,21.455735907248766
0.18,21.408739189735527
0.2,21.360974288073844
0.22,21.312400856180886
0.24,21.262976169073823
0.26,21.212654888696413
0.28,21.161388790240917
0.3,21.10912645279293
0.32,21.055812929366134
0.34,21.00138935886688
0.36,20.945792549043265
0.38,20.888954463040875
0.4,20.830801668803936
0.42,20.771254668290553
0.44,20.710227099190917
0.46,20.647624788922993
0.48,20.58334449312967
0.5,20.517272295924354
0.52,20.449281213376832
0.54,20.379227554800167
0.56,20.306944753118373
0.58,20.232232223720587
0.6,20.15483425015157
0.62,20.07439842845622
0.64,19.990391973182774
0.66,19.90193107724782
0.68,19.807430236400037
0.7000000000000001,19.70388060648576
0.72,19.585370218708512
0.74,19.440084700081833
0.76,19.244384854965293
0.78,18.95172553762475
0.8,18.474052108885683
0.8200000000000001,17.65656799142668
0.84,16.254978192126213
0.86,13.923402458326263
0.88,10.185134969416268
0.9,4.31970357425035
0.92,-4.880580253299768
0.9400000000000001,-19.5086808234189
0.96,-43.15600574339097
0.98,-81.8990712752817
1.0,-146.05151760160433
