V (V),J (mA/cm2)
0.0,29.51557330441574
0.02,29.507529145863028
0.04,29.49915161423203
0.06,29.490408442792972
0.08,29.481261329570856
0.1,29.47166445040261
0.12,29.46156252356988
0.14,29.45088826718511
0.16,29.439558992896806
0.18,29.427471930627707
0.2,29.41449764348347
0.22,29.400470421788448
0.24,29.385173704225817
0.26,29.368317029519638
0.28,29.349498043375476
0.3,29.32813743515071
0.32,29.303364068065253
0.34,29.27380771929917
0.36,29.237221440090327
0.38,29.189797857703237
0.4,29.124979810150194
0.42,29.031434530197874
0.44,28.890272309175824
0.46,28.672176459685677
0.48,28.33715221965455
0.5,27.840154520222008
0.52,27.140524895023603
0.54,26.204523754827562
0.56,24.993682700640655
0.58,23.445658502793393
0.6,21.456943802509493
0.62,18.866733126561268
0.64,15.435687173362451
0.66,10.812909851716501
0.68,4.487434757934635
0.7000000000000001,-4.274863921661795
0.72,-16.50432393213946
0.74,-33.60530005745894
0.76,-57.43348416154767
0.78,-90.36460485974003
0.8,-135.3424111514117
0.8200000000000001,-195.8961124218935
0.84,-276.1334878965492
0.86,-380.74882262708644
0.88,-515.1279538394692
0.9,-685.6713100354716
0.92,-900.4795747303696
0.9400000000000001,-1170.554344829939
0.96,-1511.6358919976947
0.98,-1946.656337971178
1.0,-2508.4672499483254
