design,param,value,Jsc,Voc,FF,PCE
D1,ANODE_WF,5.1,39.07,0.7356,0.716,20.59
D1,ANODE_WF,5.5,39.07,0.7356,0.716,20.59
D1,ANODE_WF,5.7,39.07,0.7356,0.716,20.59
D1,CATHODE_WF,4.2,39.07,0.7356,0.716,20.59
D1,CATHODE_WF,4.6,39.07,0.7356,0.716,20.59
D2,ANODE_WF,5.1,42.23,0.7153,0.671,20.27
D2,ANODE_WF,5.5,42.23,0.7153,0.671,20.27
D2,ANODE_WF,5.7,42.23,0.7153,0.671,20.27
D2,D2_ACT_DOP,1e20,42.41,0.7058,0.680,20.37
D2,D2_ACT_DOP,1e22,30.33,0.9163,0.740,20.58
D2,GRATING+D2_ACT_DOP,1e22,33.11,0.9150,0.734,22.25
