V (V),J (mA/cm2)
0.0,39.07045514342248
0.02,39.05960329460766
0.04,39.04828986218679
0.06,39.03647105500647
0.08,39.024094542640526
0.1,39.011096965833225
0.12,38.99740052225939
0.14,38.98290821011344
0.16,38.967497138551636
0.18,38.95100900130616
0.2,38.933236449193984
0.22,38.913903499550706
0.24,38.89263744232326
0.26,38.86892910863964
0.28,38.84207685452506
0.3,38.81111133011939
0.32,38.77469935288173
0.34,38.73102994833164
0.36,38.677694997651905
0.38,38.61157852279146
0.4,38.52874564801678
0.42,38.424258875194155
0.44,38.29178790634421
0.46,38.12294034917937
0.48,37.90649050041634
0.5,37.627901481862
0.52,37.269076199332254
0.54,36.806561302665436
0.56,36.20494614255037
0.58,35.40461384651722
0.6,34.30877241918514
0.62,32.7767150300638
0.64,30.622968513348496
0.66,27.60966669958724
0.68,23.40915149573262
0.7000000000000001,17.527826218356108
0.72,9.197863809382088
0.74,-2.6066937093722955
0.76,-19.303274950165704
0.78,-42.773593751514206
0.8,-75.59794856690658
0.8200000000000001,-121.27612808234326
0.84,-184.49769831716915
0.86,-271.4121754317153
0.88,-389.50603632381535
0.9,-546.5779503771938
0.92,-748.9818079633731
0.9400000000000001,-1000.1399270142591
0.96,-1299.8689783098328
0.98,-1644.274339574158
1.0,-2026.2945259453475
