V (V),J (mA/cm2)
0.0,42.6513622435845
0.02,42.64596729418749
0.04,42.640351257514034
0.06,42.63450317159376
0.08,42.62841090388799
0.1,42.62206080923437
0.12,42.61543725692338
0.14,42.60852198800905
0.16,42.60129321409165
0.18,42.59372435748463
0.2,42.585782259746765
0.22,42.577424606750924
0.24,42.56859618694915
0.26,42.55922340771571
0.28,42.54920607663434
0.3,42.53840658529222
0.32,42.52662894337968
0.34,42.513594282634585
0.36,42.49889834314657
0.38,42.48194685391189
0.4,42.461850470780625
0.42,42.43724237405285
0.44,42.40593774153503
0.46,42.36427016411511
0.48,42.30581043514565
0.5,42.2190318375033
0.52,42.083442880113154
0.54,41.86396256987095
0.56,41.50399766516581
0.58,40.9187811936397
0.6,39.99185867380714
0.62,38.57541599976864
0.64,36.485301304475755
0.66,33.475528986386074
0.68,29.1799994225306
0.7000000000000001,23.009378778487058
0.72,14.088841859496055
0.74,1.2554313278728295
0.76,-17.07847811186237
0.78,-43.05685872392599
0.8,-79.68907496530376
0.8200000000000001,-131.18844080972426
0.84,-203.570568418962
0.86,-305.5514844353267
0.88,-449.43271397716
0.9,-651.3336370808472
0.92,-930.6327926005869
0.9400000000000001,-1309.5558686223817
0.96,-1813.4437039470479
0.98,-2470.701312744932
1.0,-3311.0575173700477
