V (V),J (mA/cm2)
0.0,36.9220146649156
0.02,36.85024014759871
0.04,36.77757007798129
0.06,36.70395585300922
0.08,36.62934706514902
0.1,36.553691248806004
0.12,36.47693361748543
0.14,36.39901678306267
0.16,36.31988046436195
0.18,36.23946117339096
0.2,36.15769187416548
0.22,36.074501611572764
0.24,35.98981511508969
0.26,35.903552346101456
0.28,35.81562800405003
0.3,35.72595097543043
0.32,35.63442371683568
0.34,35.54094154475788
0.36,35.44539184617173
0.38,35.34765315838442
0.4,35.247594117039775
0.42,35.145072208951774
0.44,35.03993228962427
0.46,34.932004755887405
0.48,34.82110321371632
0.5,34.707021328347224
0.52,34.58952826504707
0.54,34.468361552783286
0.56,34.343214996951055
0.58,34.213716850016155
0.6,34.079388417911254
0.62,33.93956271232439
0.64,33.79322158469851
0.66,33.63866531710762
0.68,33.47283933648266
0.7000000000000001,33.289963965399465
0.72,33.078771852372924
0.74,32.81706305362186
0.76,32.46146898007122
0.78,31.929953289432742
0.8,31.07700727530072
0.8200000000000001,29.66937698463125
0.84,27.374889661930474
0.86,23.752625376431673
0.88,18.190764641210393
0.9,9.743063627595685
0.92,-3.1541646068077385
0.9400000000000001,-23.1158625606382
0.96,-54.472795019567485
0.98,-104.33559552338612
1.0,-184.43642745316623
