V (V),J (mA/cm2)
0.0,49.8873602754974
0.02,49.87609447434176
0.04,49.8642986462861
0.06,49.85190833268454
0.08,49.838845925332684
0.1,49.82501728843634
0.12,49.81030731609147
0.14,49.79457399641095
0.16,49.777640308057094
0.18,49.75928289239252
0.2,49.739215697860324
0.22,49.717065553857346
0.24,49.69233424965722
0.26,49.66433737362242
0.28,49.6321022051106
0.3,49.59419237561822
0.32,49.54840155388074
0.34,49.49121550635009
0.36,49.41691803156246
0.38,49.31603060606267
0.4,49.173211918363684
0.42,48.964891607775314
0.44,48.6585141097921
0.46,48.216305160112874
0.48,47.604032474799425
0.5,46.79812906936521
0.52,45.782580377583606
0.54,44.536593108364286
0.56,43.02113228022007
0.58,41.16795713924143
0.6,38.86907982617544
0.62,35.96203032302651
0.64,32.20713636915289
0.66,27.253062765839488
0.68,20.588113582449196
0.7000000000000001,11.477467588245903
0.72,-1.1109346959757218
0.74,-18.587908089143237
0.76,-42.826546342894524
0.78,-76.23941887415383
0.8,-121.83880004740769
0.8200000000000001,-183.27351342983016
0.84,-264.8533970892994
0.86,-371.6058074138272
0.88,-509.45047482584135
0.9,-685.6117082734204
0.92,-909.3943248727418
0.9400000000000001,-1193.426494990074
0.96,-1555.4071631839488
0.98,-2020.24953657677
1.0,-2622.274856749783
