V (V),J (mA/cm2)
0.0,30.862038944420057
0.02,30.849508417161545
0.04,30.83642036529882
0.06,30.82271993295968
0.08,30.808341295789315
0.1,30.793204425822264
0.12,30.777210638255124
0.14,30.760236339709305
0.16,30.742124094227627
0.18,30.722669587863738
0.2,30.70160224854907
0.22,30.678555792161877
0.24,30.65302241456684
0.26,30.624283275740396
0.28,30.59130288053745
0.3,30.552500107258442
0.32,30.505479409393956
0.34,30.446476706218064
0.36,30.369433370378403
0.38,30.264353001713573
0.4,30.11436099332123
0.42,29.89057172892281
0.44,29.543914884764277
0.46,28.994695998405856
0.48,28.12561784137678
0.5,26.790580547205366
0.52,24.846964485546607
0.54,22.19098112453365
0.56,18.7542299610172
0.58,14.44852184253914
0.6,9.092403006465128
0.62,2.3578433385807203
0.64,-6.263736497697669
0.66,-17.52670714033763
0.68,-32.51294723474236
0.7000000000000001,-52.63944277241648
0.72,-79.60962692857143
0.74,-115.3504942920241
0.76,-161.94358947607284
0.78,-221.55926023382713
0.8,-296.44375121613734
0.8200000000000001,-388.93384279179566
0.84,-501.47669100467004
0.86,-636.6059923216635
0.88,-796.7934334458982
0.9,-984.1190733996036
0.92,-1199.7692971357437
0.9400000000000001,-1443.5013388917353
0.96,-1713.3828926488015
0.98,-2006.1734434168955
1.0,-2318.4221563917404
