V (V),J (mA/cm2)
0.0,38.846449509772526
0.02,38.831058287277436
0.04,38.814975022678624
0.06,38.798127771324175
0.08,38.780429996672446
0.1,38.76177631879705
0.12,38.74203667559699
0.14,38.721048146541044
0.16,38.698603310459724
0.18,38.67443330697209
0.2,38.64818270772822
0.22,38.61937137517402
0.24,38.58733487661959
0.26,38.551145961214615
0.28,38.50944003876511
0.3,38.46017643312285
0.32,38.40025147154048
0.34,38.32479841448533
0.36,38.22600218699528
0.38,38.09102843290611
0.4,37.89841469285819
0.42,37.61203104840503
0.44,37.17210777049147
0.46,36.48533607523496
0.48,35.42199630711774
0.5,33.83286378717805
0.52,31.58685899148301
0.54,28.599678758291375
0.56,24.816340946399915
0.58,20.150313181304703
0.6,14.41595301362407
0.62,7.282606149161885
0.64,-1.7636753702673875
0.66,-13.49166447571358
0.68,-28.995681473310967
0.7000000000000001,-49.7003908470719
0.72,-77.3228456340459
0.74,-113.82248029027333
0.76,-161.34338139215436
0.78,-222.16324292023066
0.8,-298.6954648662027
0.8200000000000001,-393.51338537093716
0.84,-509.37717430938676
0.86,-649.2110830074532
0.88,-815.9456243278252
0.9,-1012.1574224967386
0.92,-1239.492246677107
0.9400000000000001,-1497.9796794930548
0.96,-1785.5432073218271
0.98,-2098.165452986869
1.0,-2431.004148606778
