V (V),J (mA/cm2)
0.0,24.907788410854135
0.02,24.89522727517462
0.04,24.88212153495522
0.06,24.86842005605623
0.08,24.854062680834705
0.1,24.838978133638932
0.12,24.823081355100523
0.14,24.806270081036672
0.16,24.7884204151418
0.18,24.769380991536703
0.2,24.748965167958573
0.22,24.72694033709713
0.24,24.703012879003435
0.26,24.67680625334976
0.28,24.647827884545897
0.3,24.615417082053042
0.32,24.578659942021304
0.34,24.53624576547182
0.36,24.48621918807116
0.38,24.42554812330394
0.4,24.34938483869964
0.42,24.249818009343464
0.44,24.113959771492375
0.46,23.921502852314262
0.48,23.642590885179573
0.5,23.238056332650615
0.52,22.663456366768553
0.54,21.873796333915006
0.56,20.82165502561913
0.58,19.44584959617356
0.6,17.655881313250152
0.62,15.31665202114092
0.64,12.231414885014763
0.66,8.118664156704126
0.68,2.5806179805798557
0.7000000000000001,-4.934602150584235
0.72,-15.171354434720701
0.74,-29.099053170639706
0.76,-47.93418691541657
0.78,-73.14928629341786
0.8,-106.46985383219551
0.8200000000000001,-149.86805417791666
0.84,-205.57426555727184
0.86,-276.1415969193523
0.88,-364.61007828934794
0.9,-474.8247389717965
0.92,-611.9662168143637
0.9400000000000001,-783.3522166929384
0.96,-999.5516670816282
0.98,-1275.800702531558
1.0,-1633.6082112769889
