config,Jopt,Jsc,Voc,FF,PCE
D2v2_P600_t350,47.09,46.62,0.721,0.664,22.30
D2v2_flat600,42.09,41.45,0.714,0.672,19.88
P450_t350,39.77,39.41,0.736,0.715,20.73
P600_t200,42.65,42.14,0.740,0.716,22.34
P600_t500,39.62,39.22,0.735,0.712,20.53
P750_t350,41.17,40.72,0.738,0.714,21.45
P900_t350,41.12,40.52,0.738,0.714,21.34
pol90_P600_t350,41.82,41.18,0.739,0.715,21.76
D2pol90_P600_t350,46.27,45.59,0.720,0.666,21.85
D2v2_P600_t200,45.07,44.31,0.718,0.668,21.23
pol90_P600_t200,43.77,43.12,0.741,0.716,22.89
