config,Jopt,Jsc,Voc,FF,PCE,PCE_Rs1
d1Ag_P600_t200,42.66,42.11,0.7401,0.717,22.33,20.94
d2Ag_P600_t350,46.76,46.30,0.7203,0.664,22.15,20.58
d2fill15_gr,46.15,45.62,0.7193,0.664,21.80,20.28
d2fill25_gr,49.90,49.52,0.7238,0.663,23.75,21.95
d2fill30_gr,48.35,47.80,0.7223,0.664,22.92,21.25
d2fill35_gr,47.70,47.16,0.7218,0.665,22.65,21.01
front_bare_gr,42.55,41.99,0.7400,0.717,22.28,20.90
front_arc_gr,42.53,42.03,0.7399,0.716,22.28,20.90
front_tex_gr,42.81,42.25,0.7403,0.717,22.42,21.02
ligand_edt_gr,41.35,40.83,0.7382,0.716,21.59,20.29
