design,mu_cm2Vs,tau_s,Jsc,Voc,FF,PCE,PCE_Rs1
D1,0.02,1e-7,42.14,0.7401,0.716,22.34,20.96
D1,0.02,3e-7,42.19,0.7444,0.744,23.38,21.91
D1,0.02,5e-7,42.20,0.7454,0.750,23.60,22.14
D1,0.05,1e-7,42.35,0.7366,0.729,22.73,21.30
D1,0.05,3e-7,42.40,0.7414,0.752,23.63,22.10
D1,0.05,5e-7,42.41,0.7424,0.757,23.82,22.30
D1,0.1,1e-7,42.48,0.7352,0.733,22.90,21.44
D1,0.1,3e-7,42.53,0.7404,0.754,23.75,22.18
D1,0.1,5e-7,42.54,0.7412,0.759,23.93,22.37
D2,5,5e-6,46.54,0.7300,0.648,22.02,20.47
D2,10,5e-6,46.62,0.7206,0.664,22.30,20.71
D2,20,5e-6,46.66,0.7141,0.674,22.47,20.86
D2,10,1e-5,46.62,0.7206,0.664,22.30,20.72
