lam_nm,n_MG,k_MG,n_Bruggeman,k_Bruggeman
300.0,2.2238,1.3789,2.1904,1.3717
307.0,2.2604,1.3891,2.2236,1.3885
314.1,2.2909,1.4098,2.2528,1.4164
321.1,2.3215,1.4432,2.2842,1.4566
328.1,2.3592,1.4880,2.3241,1.5067
335.2,2.4099,1.5390,2.3772,1.5614
342.2,2.4757,1.5891,2.4448,1.6137
349.2,2.5545,1.6313,2.5242,1.6574
356.3,2.6483,1.6609,2.6171,1.6879
363.3,2.7454,1.6768,2.7120,1.7050
370.4,2.8403,1.6796,2.8039,1.7097
377.4,2.9299,1.6715,2.8898,1.7045
384.4,3.0126,1.6550,2.9681,1.6920
391.5,3.0876,1.6327,3.0386,1.6749
398.5,3.1551,1.6065,3.1014,1.6551
405.5,3.1800,1.5599,3.1257,1.6093
412.6,3.1894,1.5087,3.1360,1.5577
419.6,3.1940,1.4591,3.1420,1.5079
426.6,3.1949,1.4116,3.1447,1.4605
433.7,3.1929,1.3664,3.1448,1.4156
440.7,3.1887,1.3238,3.1431,1.3733
447.7,3.1830,1.2838,3.1402,1.3336
454.8,3.1753,1.2456,3.1355,1.2957
461.8,3.1668,1.2096,3.1302,1.2598
468.8,3.1582,1.1759,3.1250,1.2263
475.9,3.1499,1.1447,3.1201,1.1949
482.9,3.1422,1.1157,3.1160,1.1655
489.9,3.1355,1.0887,3.1128,1.1380
497.0,3.1298,1.0637,3.1107,1.1121
504.0,3.1250,1.0396,3.1093,1.0871
511.1,3.1213,1.0164,3.1089,1.0628
518.1,3.1194,0.9943,3.1102,1.0394
525.1,3.1195,0.9731,3.1133,1.0167
532.2,3.1215,0.9524,3.1181,0.9944
539.2,3.1254,0.9319,3.1245,0.9722
546.2,3.1310,0.9114,3.1326,0.9499
553.3,3.1379,0.8900,3.1417,0.9267
560.3,3.1458,0.8673,3.1516,0.9023
567.3,3.1551,0.8439,3.1626,0.8771
574.4,3.1654,0.8196,3.1745,0.8511
581.4,3.1765,0.7945,3.1871,0.8242
588.4,3.1881,0.7684,3.2001,0.7965
595.5,3.1999,0.7414,3.2132,0.7679
602.5,3.2094,0.7193,3.2233,0.7446
609.5,3.2143,0.7065,3.2278,0.7314
616.6,3.2186,0.6930,3.2316,0.7175
623.6,3.2221,0.6790,3.2347,0.7031
630.7,3.2247,0.6645,3.2371,0.6884
637.7,3.2265,0.6498,3.2385,0.6734
644.7,3.2274,0.6350,3.2391,0.6584
651.8,3.2273,0.6202,3.2388,0.6434
658.8,3.2262,0.6055,3.2376,0.6285
665.8,3.2244,0.5912,3.2356,0.6140
672.9,3.2218,0.5774,3.2330,0.6001
679.9,3.2186,0.5644,3.2298,0.5868
686.9,3.2150,0.5522,3.2262,0.5743
694.0,3.2111,0.5409,3.2224,0.5628
701.0,3.2072,0.5308,3.2185,0.5524
708.0,3.2033,0.5219,3.2148,0.5431
715.1,3.2003,0.5144,3.2118,0.5351
722.1,3.1987,0.5084,3.2103,0.5286
729.1,3.1995,0.5036,3.2112,0.5231
736.2,3.2042,0.4993,3.2157,0.5181
743.2,3.2142,0.4932,3.2253,0.5111
750.3,3.2294,0.4808,3.2397,0.4981
757.3,3.2449,0.4578,3.2542,0.4748
764.3,3.2528,0.4250,3.2613,0.4423
771.4,3.2486,0.3896,3.2565,0.4077
778.4,3.2340,0.3600,3.2419,0.3788
785.4,3.2159,0.3383,3.2241,0.3577
792.5,3.1981,0.3228,3.2068,0.3425
799.5,3.1825,0.3118,3.1917,0.3315
806.5,3.1694,0.3025,3.1791,0.3221
813.6,3.1580,0.2937,3.1682,0.3132
820.6,3.1476,0.2854,3.1583,0.3046
827.6,3.1380,0.2773,3.1491,0.2964
834.7,3.1290,0.2696,3.1404,0.2884
841.7,3.1205,0.2622,3.1323,0.2806
848.7,3.1124,0.2549,3.1246,0.2731
855.8,3.1046,0.2478,3.1171,0.2656
862.8,3.0971,0.2408,3.1099,0.2583
869.8,3.0899,0.2340,3.1030,0.2511
876.9,3.0830,0.2274,3.0964,0.2441
883.9,3.0764,0.2209,3.0900,0.2372
891.0,3.0700,0.2146,3.0839,0.2304
898.0,3.0639,0.2083,3.0780,0.2237
905.0,3.0578,0.2021,3.0722,0.2171
912.1,3.0520,0.1959,3.0666,0.2104
919.1,3.0463,0.1898,3.0612,0.2039
926.1,3.0409,0.1838,3.0559,0.1974
933.2,3.0356,0.1778,3.0509,0.1910
940.2,3.0306,0.1720,3.0460,0.1846
947.2,3.0256,0.1661,3.0412,0.1783
954.3,3.0208,0.1603,3.0366,0.1720
961.3,3.0161,0.1544,3.0320,0.1657
968.3,3.0115,0.1486,3.0276,0.1594
975.4,3.0071,0.1428,3.0233,0.1531
982.4,3.0028,0.1371,3.0191,0.1469
989.4,2.9987,0.1314,3.0150,0.1407
996.5,2.9947,0.1257,3.0111,0.1345
1003.5,2.9946,0.1243,3.0113,0.1331
1010.6,2.9979,0.1268,3.0151,0.1359
1017.6,3.0014,0.1293,3.0190,0.1388
1024.6,3.0049,0.1319,3.0229,0.1417
1031.7,3.0084,0.1343,3.0268,0.1446
1038.7,3.0119,0.1368,3.0308,0.1474
1045.7,3.0155,0.1392,3.0348,0.1502
1052.8,3.0179,0.1433,3.0375,0.1549
1059.8,3.0190,0.1498,3.0386,0.1621
1066.8,3.0201,0.1564,3.0397,0.1693
1073.9,3.0212,0.1628,3.0409,0.1765
1080.9,3.0225,0.1692,3.0422,0.1836
1087.9,3.0238,0.1755,3.0435,0.1906
1095.0,3.0252,0.1818,3.0448,0.1976
1102.0,3.0248,0.1837,3.0445,0.1998
1109.0,3.0214,0.1781,3.0412,0.1936
1116.1,3.0177,0.1718,3.0377,0.1866
1123.1,3.0142,0.1656,3.0343,0.1796
1130.2,3.0107,0.1593,3.0309,0.1727
1137.2,3.0074,0.1530,3.0277,0.1657
1144.2,3.0041,0.1467,3.0245,0.1587
1151.3,3.0004,0.1404,3.0208,0.1518
1158.3,2.9949,0.1343,3.0151,0.1449
1165.3,2.9894,0.1281,3.0094,0.1380
1172.4,2.9839,0.1218,3.0038,0.1310
1179.4,2.9786,0.1156,2.9982,0.1241
1186.4,2.9733,0.1092,2.9927,0.1171
1193.5,2.9680,0.1029,2.9873,0.1101
1200.5,2.9630,0.0990,2.9820,0.1055
1207.5,2.9585,0.1046,2.9771,0.1117
1214.6,2.9542,0.1117,2.9723,0.1194
1221.6,2.9499,0.1189,2.9676,0.1270
1228.6,2.9457,0.1261,2.9629,0.1347
1235.7,2.9416,0.1333,2.9583,0.1424
1242.7,2.9375,0.1405,2.9538,0.1501
1249.7,2.9337,0.1478,2.9495,0.1578
1256.8,2.9319,0.1549,2.9474,0.1655
1263.8,2.9303,0.1620,2.9455,0.1731
1270.9,2.9288,0.1691,2.9437,0.1808
1277.9,2.9274,0.1763,2.9419,0.1884
1284.9,2.9261,0.1833,2.9403,0.1960
1292.0,2.9248,0.1904,2.9386,0.2036
1299.0,2.9237,0.1959,2.9372,0.2096
1306.0,2.9236,0.1923,2.9374,0.2056
1313.1,2.9239,0.1850,2.9381,0.1979
1320.1,2.9243,0.1779,2.9388,0.1902
1327.1,2.9247,0.1707,2.9396,0.1826
1334.2,2.9252,0.1636,2.9405,0.1750
1341.2,2.9257,0.1566,2.9414,0.1674
1348.2,2.9265,0.1496,2.9424,0.1599
1355.3,2.9287,0.1423,2.9452,0.1522
1362.3,2.9318,0.1350,2.9488,0.1444
1369.3,2.9349,0.1277,2.9524,0.1367
1376.4,2.9380,0.1206,2.9560,0.1290
1383.4,2.9412,0.1135,2.9597,0.1214
1390.5,2.9444,0.1065,2.9634,0.1139
1397.5,2.9467,0.0996,2.9662,0.1064
1404.5,2.9453,0.0924,2.9649,0.0986
1411.6,2.9401,0.0849,2.9594,0.0904
1418.6,2.9349,0.0774,2.9539,0.0821
1425.6,2.9298,0.0698,2.9485,0.0738
1432.7,2.9247,0.0622,2.9431,0.0655
1439.7,2.9197,0.0545,2.9378,0.0571
1446.7,2.9148,0.0469,2.9326,0.0488
1453.8,2.9123,0.0426,2.9299,0.0441
1460.8,2.9110,0.0401,2.9286,0.0415
1467.8,2.9101,0.0381,2.9277,0.0393
1474.9,2.9092,0.0361,2.9267,0.0372
1481.9,2.9083,0.0341,2.9258,0.0350
1488.9,2.9074,0.0322,2.9248,0.0329
1496.0,2.9065,0.0302,2.9239,0.0308
1503.0,2.9056,0.0284,2.9230,0.0288
1510.1,2.9047,0.0267,2.9221,0.0270
1517.1,2.9038,0.0251,2.9211,0.0253
1524.1,2.9029,0.0235,2.9202,0.0235
1531.2,2.9021,0.0219,2.9193,0.0218
1538.2,2.9012,0.0203,2.9184,0.0201
1545.2,2.9003,0.0189,2.9175,0.0185
1552.3,2.8995,0.0178,2.9166,0.0173
1559.3,2.8986,0.0176,2.9157,0.0172
1566.3,2.8977,0.0176,2.9148,0.0171
1573.4,2.8969,0.0175,2.9139,0.0171
1580.4,2.8960,0.0175,2.9130,0.0171
1587.4,2.8952,0.0175,2.9121,0.0171
1594.5,2.8943,0.0174,2.9112,0.0170
1601.5,2.8935,0.0174,2.9103,0.0170
1608.5,2.8926,0.0174,2.9094,0.0170
1615.6,2.8917,0.0174,2.9085,0.0169
1622.6,2.8909,0.0173,2.9077,0.0169
1629.6,2.8900,0.0173,2.9068,0.0169
1636.7,2.8892,0.0173,2.9059,0.0169
1643.7,2.8883,0.0172,2.9050,0.0168
1650.8,2.8875,0.0172,2.9041,0.0168
1657.8,2.8867,0.0172,2.9033,0.0168
1664.8,2.8858,0.0172,2.9024,0.0168
1671.9,2.8850,0.0171,2.9015,0.0167
1678.9,2.8842,0.0171,2.9007,0.0167
1685.9,2.8834,0.0171,2.8998,0.0167
1693.0,2.8825,0.0171,2.8989,0.0167
1700.0,2.8817,0.0170,2.8981,0.0166
