inclusion_material,active_thickness_nm,QD_fill,Jopt_mA_cm2,NIR_peak_to_valley,max_energy_bound_error
QD_1550_NH4I,550,0.1,32.0151,0.455856,0
QD_1550_NH4I,550,0.2,34.6881,0.455266,0
QD_1550_NH4I,550,0.3,36.9808,0.455772,0
QD_1550_NH4I,550,0.4,39.3609,0.456934,0
QD_1550_NH4I,850,0.1,36.9679,0.446511,0
QD_1550_NH4I,850,0.2,40.3268,0.423121,0
QD_1550_NH4I,850,0.3,42.8896,0.406624,0
QD_1550_NH4I,850,0.4,45.2738,0.398266,0
QD-5nm,550,0.1,36.091,0.475511,0
QD-5nm,550,0.2,40.11,0.5747,0
QD-5nm,550,0.3,47.566,0.470317,0
QD-5nm,550,0.4,46.7103,0.554079,0
QD-5nm,850,0.1,41.7756,0.42225,0
QD-5nm,850,0.2,44.5069,0.482009,0
QD-5nm,850,0.3,50.0117,0.340724,0
QD-5nm,850,0.4,50.3717,0.418813,0
