lam_nm,A_active
1.700000000000000000e+03,3.265258614838147389e-01
1.673874862788145037e+03,3.507168723349736172e-01
1.648540540540540633e+03,3.750201205290941697e-01
1.623961661341853187e+03,3.966252865313715237e-01
1.600104931794333652e+03,4.134523768596016779e-01
1.576938986556359851e+03,4.238975130770425981e-01
1.554434250764526041e+03,4.263922123087903193e-01
1.532562814070352033e+03,4.198233228076216350e-01
1.511298315163528287e+03,4.046326792404757455e-01
1.490615835777126222e+03,3.833395831419438293e-01
1.470491803278688622e+03,3.596591071825319119e-01
1.450903901046622423e+03,3.368243939197221870e-01
1.431830985915492874e+03,3.165020761509057534e-01
1.413253012048192886e+03,2.990154583816391209e-01
1.395150960658737404e+03,2.843361657060226033e-01
1.377506775067750823e+03,2.728177891794594800e-01
1.360303300624442500e+03,2.651975577005573070e-01
1.343524229074889718e+03,2.621484017194794514e-01
1.327154046997389059e+03,2.638831046383509626e-01
1.311177987962166981e+03,2.700826788476503593e-01
1.295581988105352821e+03,2.801747195237721533e-01
1.280352644836272020e+03,2.937989542172948498e-01
1.265477178423236637e+03,3.110380436117087255e-01
1.250943396226415189e+03,3.319043050711535936e-01
1.236739659367396598e+03,3.551069484647527141e-01
1.222854851643945494e+03,3.770722959795260731e-01
1.209278350515463899e+03,3.924931851058554022e-01
1.196000000000000000e+03,3.965995696367374812e-01
1.183010085337470855e+03,3.876567688215564744e-01
1.170299309286262542e+03,3.676966258421100475e-01
1.157858769931662891e+03,3.409398464408902596e-01
1.145679939894815789e+03,3.114075498294000544e-01
1.133754646840148780e+03,2.817124834484536211e-01
1.122075055187637872e+03,2.535030105886162399e-01
1.110633648943918388e+03,2.282913819539960087e-01
1.099423215573179732e+03,2.073736681383038516e-01
1.088436830835117689e+03,1.910571851056114268e-01
1.077667844522968153e+03,1.784544222440425099e-01
1.067109867039888059e+03,1.683863501648159011e-01
1.056756756756756886e+03,1.604533807290282332e-01
1.046602608098833343e+03,1.550360762529508496e-01
1.036641740312712500e+03,1.522817389076620009e-01
1.026868686868686837e+03,1.513579391372230631e-01
1.017278185456971300e+03,1.508400854825870385e-01
1.007865168539325964e+03,1.496061409738044801e-01
9.986247544204322821e+02,1.470093916749265484e-01
9.895522388059702052e+02,1.421991610147426144e-01
9.806430868167203698e+02,1.337999877902288914e-01
9.718929254302104255e+02,1.208691301128394513e-01
9.632975363234367023e+02,1.043345852145602382e-01
9.548528490920475633e+02,8.713896337281679116e-02
9.465549348230912301e+02,7.250708156503943291e-02
9.383999999999999773e+02,6.188024997014635042e-02
9.303843807199513094e+02,5.458352946883382462e-02
9.225045372050817605e+02,4.946964720687435646e-02
9.147570485902820110e+02,4.666452604748638766e-02
9.071386079714457082e+02,4.757191810745831084e-02
8.996460176991150774e+02,5.339623575695690016e-02
8.922761849034521902e+02,6.410562858998192226e-02
8.850261172373767522e+02,7.906138780612853578e-02
8.778929188255614235e+02,9.841690551600307257e-02
8.708737864077670565e+02,1.234309414260361670e-01
8.639660056657223777e+02,1.551580391026953776e-01
8.571669477234402166e+02,1.929385433741528932e-01
8.504740658114892540e+02,2.343801458577561836e-01
8.438848920863308649e+02,2.768585964948785949e-01
8.373970345963756472e+02,3.189800616014357715e-01
8.310081743869210413e+02,3.607085853267305575e-01
8.247160627366142762e+02,4.024562870084704702e-01
8.185185185185185901e+02,4.443848269382174032e-01
8.124134256792755195e+02,4.865065605514955482e-01
8.063987308302486099e+02,5.289751567192408910e-01
8.004724409448818960e+02,5.718013772065106970e-01
7.946326211568525650e+02,6.142038890448860977e-01
7.888773926539058721e+02,6.545147257462715640e-01
7.832049306625576719e+02,6.910151624629801148e-01
7.776134625191230043e+02,7.229566375002359768e-01
7.721012658227849670e+02,7.507516650072829645e-01
7.666666666666667425e+02,7.752473188798736370e-01
7.613080379430854236e+02,7.969739931048952508e-01
7.560237977193852430e+02,8.161308999603257286e-01
7.508124076809452845e+02,8.330761283360621494e-01
7.456723716381417262e+02,8.485080010771419712e-01
7.406022340942205346e+02,8.630256947907249954e-01
7.356005788712012645e+02,8.766219360737572686e-01
7.306660277910876857e+02,8.887693140259668168e-01
7.257972394098048881e+02,8.990169754497048249e-01
7.209929078014184824e+02,9.073989384337375341e-01
7.162517613903241909e+02,9.142332863803690479e-01
7.115725618292113950e+02,9.196620587665121915e-01
7.069541029207232441e+02,9.235521718850039363e-01
7.023952095808383547e+02,9.258487055157466061e-01
6.978947368421052033e+02,9.268715246606116231e-01
6.934515688949522882e+02,9.271452051674661243e-01
6.890646181653864915e+02,9.269809433025817391e-01
6.847328244274809776e+02,9.263465990096677594e-01
6.804551539491299081e+02,9.251690547844342305e-01
6.762305986696230775e+02,9.236488158126312520e-01
6.720581754076686138e+02,9.221695215829057712e-01
6.679369250985545250e+02,9.209316031106230538e-01
6.638659120592077443e+02,9.198005875532596631e-01
6.598442232799654903e+02,9.185701149725784553e-01
6.558709677419353739e+02,9.172924357429617093e-01
6.519452757588712757e+02,9.162455755656837564e-01
6.480662983425414723e+02,9.155877052590883913e-01
6.442332065906209664e+02,9.151582008054447437e-01
6.404451910961781778e+02,9.146884674554783823e-01
6.367014613778706007e+02,9.141472226972414683e-01
6.330012453300125799e+02,9.137702600003831943e-01
6.293437886917043897e+02,9.137382935158195885e-01
6.257283545342634170e+02,9.139253018254889227e-01
6.221542227662179130e+02,9.140465168378522076e-01
6.186206896551723275e+02,9.140141885254151610e-01
6.151270673658733585e+02,9.140392815885626243e-01
6.116726835138388196e+02,9.143475027648521047e-01
6.082568807339450814e+02,9.148780740462352234e-01
6.048790162633875980e+02,9.153553968329798396e-01
6.015384615384615472e+02,9.156407734740780180e-01
5.982346018046292784e+02,9.159094926104494050e-01
5.949668357393678662e+02,9.164245470178337127e-01
5.917345750873108727e+02,9.171985792751710109e-01
5.885372443072172928e+02,9.179788958540282540e-01
5.853742802303263488e+02,9.185736180591939082e-01
